"Rnk","Team","Gms","poss","seconds&nbsp ▲...5","seconds&nbsp ▲...6","points...7","points...8","%...9","seconds...10","seconds...11","points...12","points...13","%...14","seconds...15","seconds...16","points...17","points...18","%...19","seconds...20","seconds...21","points...22","points...23","Season","Year"
"1","PHX","82","7,865","14.6","1","1.07","6","54%","17.4","2","1.04","7","33%","11.2","2","1.08","2","11%","10.4","3","1.12","21",1997,1997
"2","PHI","82","8,101","14.7","2","1.01","26","54%","17.0","1","0.97","26","32%","12.0","8","1.03","15","11%","10.7","6","1.11","24",1997,1997
"3","WAS","82","7,817","14.8","3","1.04","13","52%","17.8","6","1.00","17","34%","11.5","3","1.05","11","12%","10.6","5","1.16","15",1997,1997
"4","BOS","82","8,104","14.8","4","1.02","24","55%","17.9","7","0.97","25","30%","10.9","1","1.01","22","13%","10.4","2","1.18","8",1997,1997
"5","SEA","80","7,410","14.9","5","1.09","3","50%","17.8","5","1.06","5","32%","11.9","7","1.07","4","15%","11.0","10","1.15","18",1997,1997
"6","NYK","82","7,664","15.0","6","1.02","23","50%","17.6","4","1.00","14","36%","12.1","11","1.00","25","12%","11.8","20","1.11","25",1997,1997
"7","GSW","81","7,749","15.0","7","1.04","11","55%","17.6","3","1.00","16","32%","12.0","9","1.06","7","11%","10.8","7","1.18","11",1997,1997
"8","DEN","82","7,835","15.2","8","1.02","20","55%","17.9","8","1.01","13","34%","11.7","4","1.01","23","9%","11.4","15","1.15","17",1997,1997
"9","LAL","82","7,751","15.3","9","1.06","8","51%","18.1","10","1.01","11","34%","12.2","13","1.05","8","13%","11.7","18","1.19","7",1997,1997
"10","CHI","82","7,575","15.3","10","1.12","1","51%","17.9","9","1.10","1","35%","12.6","19","1.11","1","12%","11.3","12","1.21","4",1997,1997
"11","IND","82","7,547","15.3","11","1.04","15","53%","18.5","18","0.99","20","34%","11.7","5","1.06","5","11%","10.9","9","1.11","26",1997,1997
"12","UTA","82","7,588","15.3","12","1.11","2","51%","18.3","13","1.07","2","34%","12.4","16","1.08","3","13%","11.3","13","1.23","3",1997,1997
"13","NJN","82","7,844","15.4","13","1.02","25","53%","18.3","14","0.99","19","33%","12.3","14","1.01","24","12%","11.1","11","1.17","12",1997,1997
"14","SAC","82","7,721","15.4","14","1.02","19","54%","18.6","20","1.00","18","33%","11.8","6","1.02","17","11%","10.4","1","1.07","28",1997,1997
"15","POR","82","7,702","15.4","15","1.05","10","51%","18.4","15","1.03","9","35%","12.7","20","1.03","14","11%","10.6","4","1.20","5",1997,1997
"16","HOU","82","7,733","15.4","16","1.07","7","50%","18.3","11","1.07","3","36%","13.0","24","0.99","27","11%","10.9","8","1.16","16",1997,1997
"17","MIN","82","7,651","15.5","17","1.03","17","53%","18.4","16","1.00","15","33%","12.1","12","1.02","18","11%","11.5","16","1.14","20",1997,1997
"18","CHH","82","7,502","15.6","18","1.08","4","53%","18.3","12","1.06","4","34%","12.7","21","1.05","10","11%","11.5","17","1.20","6",1997,1997
"19","MIA","82","7,461","15.7","19","1.04","12","51%","18.4","17","0.99","21","35%","12.9","23","1.04","12","12%","11.8","19","1.25","2",1997,1997
"20","LAC","82","7,750","15.7","20","1.03","18","53%","18.5","19","0.97","27","32%","12.3","15","1.05","9","12%","11.9","22","1.16","13",1997,1997
"21","DAL","81","7,422","15.9","21","0.99","28","53%","18.8","21","0.93","29","33%","12.5","17","1.02","20","12%","11.8","21","1.12","22",1997,1997
"22","MIL","82","7,521","16.0","22","1.04","14","53%","18.9","22","1.03","8","33%","12.6","18","1.01","21","11%","12.0","24","1.12","23",1997,1997
"23","TOR","82","7,664","16.1","23","1.02","21","53%","19.1","23","0.98","22","32%","12.8","22","1.02","16","12%","11.3","14","1.14","19",1997,1997
"24","VAN","82","7,467","16.3","24","0.98","29","55%","19.4","26","0.96","28","31%","12.1","10","0.98","29","12%","12.4","26","1.04","29",1997,1997
"25","ORL","82","7,485","16.3","25","1.03","16","52%","19.3","25","1.01","12","32%","13.2","26","0.99","28","12%","11.9","23","1.16","14",1997,1997
"26","ATL","82","7,360","16.4","26","1.06","9","50%","19.2","24","1.02","10","35%","13.5","27","1.04","13","13%","12.5","28","1.18","10",1997,1997
"27","SAS","82","7,358","16.8","27","1.01","27","54%","19.7","27","0.98","24","32%","13.1","25","1.02","19","11%","12.3","25","1.09","27",1997,1997
"28","DET","82","7,156","17.1","28","1.08","5","51%","20.2","28","1.04","6","35%","13.8","28","1.06","6","11%","12.5","27","1.25","1",1997,1997
"29","CLE","82","7,029","17.8","29","1.02","22","51%","20.6","29","0.98","23","33%","15.0","29","1.00","26","13%","13.7","29","1.18","9",1997,1997
"1","LAL","82","7,884","14.7","1","1.10","1","51%","17.5","2","1.07","1","34%","11.6","5","1.10","1","12%","10.8","4","1.17","10",1998,1998
"2","MIN","82","7,857","14.7","2","1.06","5","52%","17.2","1","0.99","13","34%","11.8","9","1.07","4","11%","10.9","6","1.21","2",1998,1998
"3","PHX","82","7,733","15.0","3","1.06","4","51%","18.4","8","1.00","9","34%","11.6","3","1.07","5","12%","10.4","1","1.14","14",1998,1998
"4","BOS","82","7,846","15.1","4","1.00","22","53%","18.2","6","0.96","20","29%","11.6","4","0.99","24","17%","10.7","2","1.13","17",1998,1998
"5","WAS","82","7,753","15.1","5","1.03","13","52%","17.8","4","0.99","12","33%","12.0","10","1.01","15","12%","11.3","11","1.20","3",1998,1998
"6","VAN","82","7,823","15.1","6","1.01","16","55%","17.8","3","1.00","10","32%","11.5","2","1.00","18","11%","11.6","14","1.09","26",1998,1998
"7","SAC","82","7,757","15.2","7","0.98","26","54%","18.4","7","0.96","22","33%","11.3","1","0.98","25","11%","10.7","3","1.07","28",1998,1998
"8","SEA","82","7,540","15.2","8","1.09","3","51%","18.5","13","1.04","3","33%","11.7","7","1.10","2","14%","11.2","8","1.20","4",1998,1998
"9","CLE","82","7,615","15.3","9","1.00","24","50%","18.4","11","0.94","27","34%","12.1","11","0.99","23","14%","11.7","20","1.16","12",1998,1998
"10","PHI","82","7,677","15.4","10","1.00","23","52%","18.7","17","0.95","25","33%","11.8","8","1.01","14","13%","11.1","7","1.12","18",1998,1998
"11","LAC","82","7,786","15.5","11","1.01","18","55%","18.4","10","0.96","21","32%","11.7","6","1.04","9","11%","11.3","10","1.16","13",1998,1998
"12","TOR","82","7,884","15.5","12","0.99","25","54%","18.4","12","0.96","23","30%","12.2","14","0.97","26","13%","10.9","5","1.12","19",1998,1998
"13","NJN","82","7,786","15.6","13","1.05","11","53%","18.2","5","1.03","5","31%","12.6","24","1.02","11","14%","11.9","25","1.11","20",1998,1998
"14","GSW","82","7,787","15.6","14","0.93","29","52%","18.4","9","0.89","29","35%","12.5","20","0.92","29","11%","11.6","15","1.11","22",1998,1998
"15","CHH","82","7,557","15.6","15","1.05","12","52%","18.5","14","1.00","11","34%","12.5","18","1.06","8","12%","11.3","12","1.14","16",1998,1998
"16","NYK","82","7,464","15.7","16","1.01","20","50%","18.8","19","0.95","24","36%","12.4","17","1.01","13","11%","11.8","24","1.18","7",1998,1998
"17","HOU","82","7,703","15.7","17","1.05","9","52%","18.6","15","1.01","8","33%","12.6","25","1.01","12","12%","11.2","9","1.19","5",1998,1998
"18","MIA","82","7,415","15.7","18","1.05","10","50%","18.7","18","1.02","7","35%","12.6","23","1.07","6","12%","11.6","16","1.09","25",1998,1998
"19","UTA","82","7,545","15.7","19","1.10","2","51%","18.9","21","1.04","4","35%","12.3","16","1.09","3","11%","11.8","23","1.18","8",1998,1998
"20","IND","82","7,463","15.8","20","1.06","6","51%","18.6","16","0.99","15","35%","13.0","27","1.07","7","11%","11.7","21","1.25","1",1998,1998
"21","DAL","82","7,623","15.8","21","0.98","27","53%","18.8","20","0.95","26","33%","12.1","12","0.97","27","11%","11.7","18","1.10","24",1998,1998
"22","SAS","82","7,531","15.8","22","1.01","19","50%","19.0","23","0.99","17","39%","12.5","19","1.00","17","9%","12.3","27","1.06","29",1998,1998
"23","POR","82","7,613","15.9","23","1.02","15","50%","19.3","28","0.99","14","36%","12.3","15","1.00","19","11%","11.7","17","1.10","23",1998,1998
"24","DET","82","7,514","15.9","24","1.03","14","52%","19.0","25","0.99","16","34%","12.5","21","0.99","21","12%","11.4","13","1.18","6",1998,1998
"25","MIL","82","7,666","16.0","25","1.01","17","52%","19.2","26","0.97","19","32%","12.6","22","0.99","20","13%","11.8","22","1.14","15",1998,1998
"26","ATL","82","7,453","16.1","26","1.05","7","50%","18.9","22","1.03","6","36%","13.0","28","1.04","10","11%","12.2","26","1.16","11",1998,1998
"27","CHI","82","7,524","16.1","27","1.05","8","50%","19.0","24","1.05","2","35%","13.0","26","1.01","16","12%","12.5","29","1.17","9",1998,1998
"28","DEN","82","7,548","16.2","28","0.97","28","54%","19.2","27","0.92","28","31%","12.2","13","0.99","22","12%","11.7","19","1.11","21",1998,1998
"29","ORL","82","7,365","16.7","29","1.00","21","52%","19.4","29","0.98","18","33%","13.9","29","0.97","28","12%","12.5","28","1.08","27",1998,1998
"1","SAC","50","4,979","14.0","1","1.01","13","51%","16.7","1","0.96","14","35%","11.3","1","0.98","19","12%","9.9","1","1.21","1",1999,1999
"2","MIN","50","4,686","14.9","2","0.99","16","51%","17.7","3","0.96","16","34%","11.9","5","1.01","10","13%","11.3","9","1.05","27",1999,1999
"3","BOS","50","4,738","15.0","3","0.98","20","51%","18.3","7","0.95","18","34%","11.4","2","0.98","21","13%","10.8","4","1.13","12",1999,1999
"4","LAL","50","4,700","15.0","4","1.05","2","52%","17.2","2","1.03","2","35%","12.4","12","1.06","2","11%","11.7","17","1.09","18",1999,1999
"5","NJN","50","4,734","15.0","5","0.97","25","51%","18.1","5","0.91","27","34%","11.9","4","0.99","18","13%","10.5","2","1.08","21",1999,1999
"6","PHX","50","4,638","15.3","6","1.03","4","51%","18.5","9","0.97","12","34%","12.0","6","1.07","1","12%","11.0","6","1.14","11",1999,1999
"7","SEA","50","4,634","15.4","7","1.02","8","52%","18.4","8","0.98","11","34%","12.1","8","1.05","3","11%","10.8","5","1.08","22",1999,1999
"8","WAS","50","4,617","15.5","8","0.99","18","52%","18.0","4","0.98","9","34%","12.6","14","0.95","24","12%","12.1","25","1.09","19",1999,1999
"9","DEN","50","4,641","15.5","9","1.01","12","54%","18.2","6","0.98","10","33%","11.9","3","1.04","5","11%","11.7","15","1.03","28",1999,1999
"10","PHI","50","4,637","15.6","10","0.97","24","48%","19.4","23","0.93","23","34%","12.1","7","0.93","28","15%","10.7","3","1.14","10",1999,1999
"11","TOR","50","4,602","15.6","11","0.99","17","51%","18.9","12","0.96","13","35%","12.4","13","0.98","20","12%","11.1","7","1.07","23",1999,1999
"12","CHH","50","4,680","15.7","12","0.99","15","50%","18.6","10","0.94","20","35%","12.9","18","1.01","11","12%","11.7","16","1.16","5",1999,1999
"13","SAS","50","4,593","15.8","13","1.01","11","47%","19.1","13","0.96","15","38%","12.8","15","1.03","6","12%","11.9","22","1.09","20",1999,1999
"14","POR","50","4,624","15.8","14","1.03","6","49%","19.3","20","0.99","6","36%","12.3","9","1.00","13","12%","11.4","13","1.19","2",1999,1999
"15","MIL","50","4,477","15.9","15","1.02","7","50%","19.3","18","0.99","7","34%","12.4","11","1.02","9","14%","11.4","10","1.15","8",1999,1999
"16","DAL","50","4,597","15.9","16","1.00","14","52%","19.1","14","0.95","17","35%","12.4","10","1.00","12","11%","11.4","11","1.16","4",1999,1999
"17","GSW","50","4,645","15.9","17","0.95","28","49%","19.1","15","0.92","25","37%","12.8","16","0.94","25","12%","11.8","18","1.07","24",1999,1999
"18","NYK","50","4,484","16.0","18","0.96","26","48%","19.2","17","0.92","24","37%","12.9","19","0.97","23","12%","11.9","21","1.06","25",1999,1999
"19","HOU","50","4,573","16.0","19","1.03","5","50%","19.3","19","1.00","3","37%","12.9","17","1.02","8","11%","11.4","14","1.12","14",1999,1999
"20","ORL","50","4,545","16.2","20","0.98","19","49%","19.5","25","0.91","28","35%","13.5","26","0.99","16","14%","11.2","8","1.17","3",1999,1999
"21","UTA","50","4,510","16.3","21","1.03","3","49%","19.5","24","0.98","8","37%","13.2","21","1.03","7","11%","12.0","23","1.14","9",1999,1999
"22","CLE","50","4,443","16.3","22","0.97","23","50%","19.2","16","0.94","19","33%","13.4","22","0.94","26","14%","12.6","27","1.11","15",1999,1999
"23","IND","50","4,479","16.4","23","1.06","1","52%","18.8","11","1.07","1","36%","13.6","27","1.04","4","10%","13.0","29","1.05","26",1999,1999
"24","VAN","50","4,644","16.4","24","0.96","27","53%","19.3","22","0.93","22","32%","13.1","20","0.94","27","12%","12.2","26","1.10","17",1999,1999
"25","MIA","50","4,364","16.5","25","1.02","9","49%","19.5","27","1.00","4","38%","13.5","25","0.99","17","11%","12.8","28","1.15","6",1999,1999
"26","DET","50","4,442","16.5","26","1.02","10","50%","19.7","28","0.99","5","35%","13.8","28","0.99","14","12%","11.4","12","1.15","7",1999,1999
"27","ATL","50","4,420","16.6","27","0.98","21","48%","19.9","29","0.94","21","38%","13.4","23","0.97","22","11%","12.1","24","1.10","16",1999,1999
"28","LAC","50","4,635","16.7","28","0.97","22","55%","19.5","26","0.92","26","31%","13.5","24","0.99","15","12%","11.9","19","1.13","13",1999,1999
"29","CHI","50","4,519","16.7","29","0.91","29","51%","19.3","21","0.87","29","34%","14.1","29","0.92","29","12%","11.9","20","1.02","29",1999,1999
"1","ORL","82","8,174","13.6","1","1.00","21","52%","16.2","1","0.95","24","34%","10.8","1","0.99","23","12%","10.0","3","1.18","5",2000,2000
"2","SAC","82","8,356","13.8","2","1.03","10","51%","16.2","2","1.01","7","34%","11.3","7","1.01","18","12%","10.0","2","1.12","19",2000,2000
"3","CLE","82","8,116","14.1","3","0.98","26","52%","16.7","4","0.94","26","34%","10.9","2","0.98","27","12%","10.4","8","1.10","24",2000,2000
"4","DET","82","8,094","14.1","4","1.05","6","54%","16.6","3","1.00","8","33%","11.3","5","1.06","3","11%","9.9","1","1.14","11",2000,2000
"5","BOS","82","7,956","14.7","5","1.02","12","52%","17.8","10","0.98","17","32%","11.3","4","1.03","9","13%","10.6","11","1.12","18",2000,2000
"6","GSW","82","8,056","14.7","6","0.97","27","53%","17.7","6","0.93","27","33%","11.3","6","0.99","22","12%","10.4","7","1.08","27",2000,2000
"7","PHX","82","7,944","14.8","7","1.02","15","51%","17.8","12","0.99","14","35%","11.8","16","1.04","7","12%","10.2","4","1.10","21",2000,2000
"8","DAL","82","7,980","14.8","8","1.04","7","54%","17.8","11","1.01","6","33%","11.2","3","1.04","8","10%","10.5","10","1.18","3",2000,2000
"9","DEN","82","7,996","14.8","9","1.01","19","53%","17.7","7","0.98","16","35%","11.4","8","1.01","17","9%","10.8","14","1.17","7",2000,2000
"10","PHI","82","7,858","14.8","10","0.99","25","50%","18.2","18","0.96","22","34%","11.4","9","0.98","28","13%","10.4","6","1.13","17",2000,2000
"11","CHH","82","7,950","14.9","11","1.02","18","50%","18.0","13","0.97","19","36%","11.7","15","1.02","14","12%","10.5","9","1.19","2",2000,2000
"12","MIL","82","7,860","14.9","12","1.06","3","53%","17.7","9","1.02","3","33%","11.7","12","1.07","2","12%","10.8","13","1.15","9",2000,2000
"13","SEA","82","7,844","14.9","13","1.04","8","52%","18.1","16","0.99","11","35%","11.5","10","1.05","6","11%","10.3","5","1.15","8",2000,2000
"14","MIN","82","7,801","15.0","14","1.04","9","52%","17.5","5","1.00","9","35%","12.2","20","1.05","5","11%","11.4","23","1.13","14",2000,2000
"15","LAL","82","7,876","15.2","15","1.05","5","50%","17.7","8","1.04","1","38%","12.8","26","1.02","15","10%","11.2","19","1.17","6",2000,2000
"16","IND","82","7,830","15.2","16","1.06","1","52%","18.0","14","1.01","5","36%","12.1","18","1.09","1","9%","11.4","21","1.14","12",2000,2000
"17","HOU","82","7,962","15.4","17","1.02","11","52%","18.7","24","0.97","21","35%","11.7","13","1.03","11","10%","10.6","12","1.18","4",2000,2000
"18","ATL","82","7,792","15.4","18","0.99","24","53%","18.6","22","0.97","18","36%","11.6","11","0.98","26","9%","10.9","16","1.09","25",2000,2000
"19","WAS","82","7,834","15.5","19","1.01","20","54%","18.0","15","0.99","12","34%","12.5","23","0.99","24","10%","11.4","22","1.13","16",2000,2000
"20","SAS","82","7,712","15.5","20","1.02","13","49%","18.7","23","0.99","10","37%","12.2","19","1.01","19","10%","11.5","24","1.14","10",2000,2000
"21","TOR","82","7,803","15.5","21","1.02","14","52%","18.5","21","0.99","13","34%","12.2","21","1.03","12","11%","11.3","20","1.10","23",2000,2000
"22","MIA","82","7,597","15.5","22","1.02","17","50%","18.2","17","0.98","15","37%","12.6","25","1.03","13","10%","12.4","28","1.10","22",2000,2000
"23","NJN","82","7,872","15.5","23","1.02","16","53%","18.2","19","0.97","20","32%","12.5","24","1.01","16","12%","10.9","18","1.22","1",2000,2000
"24","LAC","82","7,900","15.6","24","0.96","28","55%","18.5","20","0.91","28","33%","12.1","17","0.99","25","10%","10.9","17","1.04","28",2000,2000
"25","POR","82","7,544","15.8","25","1.06","2","50%","19.2","28","1.03","2","37%","12.3","22","1.05","4","11%","11.6","25","1.12","20",2000,2000
"26","VAN","82","7,742","15.9","26","0.99","23","54%","19.2","29","0.95","25","32%","11.7","14","1.01","20","11%","10.9","15","1.13","13",2000,2000
"27","NYK","82","7,531","16.0","27","1.00","22","51%","19.0","26","0.96","23","37%","13.1","27","1.00","21","10%","11.8","26","1.09","26",2000,2000
"28","UTA","82","7,531","16.3","28","1.05","4","52%","19.2","27","1.01","4","35%","13.2","28","1.03","10","11%","12.1","27","1.13","15",2000,2000
"29","CHI","82","7,575","16.5","29","0.92","29","53%","19.0","25","0.88","29","33%","13.8","29","0.92","29","11%","12.5","29","1.03","29",2000,2000
"1","DET","82","8,009","14.3","1","0.98","24","51%","16.7","1","0.95","20","36%","11.8","8","0.97","26","10%","10.6","3","1.12","18",2001,2001
"2","SAC","82","8,060","14.4","2","1.04","10","49%","17.1","3","0.99","10","36%","12.0","13","1.02","10","12%","10.2","1","1.14","10",2001,2001
"3","ORL","82","7,879","14.6","3","1.01","12","52%","16.9","2","0.95","18","34%","12.1","15","1.04","5","12%","10.8","9","1.12","19",2001,2001
"4","MIL","82","7,791","14.8","4","1.06","2","51%","17.8","5","1.01","3","35%","11.6","2","1.08","1","11%","11.0","10","1.14","12",2001,2001
"5","PHX","82","7,859","14.9","5","0.98","23","50%","18.0","8","0.91","28","35%","11.8","7","1.02","13","13%","10.6","2","1.11","24",2001,2001
"6","GSW","82","7,955","15.0","6","0.95","28","53%","17.6","4","0.91","27","32%","11.9","10","0.94","29","12%","10.8","7","1.14","14",2001,2001
"7","MIN","82","7,716","15.0","7","1.03","11","52%","17.9","6","1.01","5","34%","12.0","14","1.02","14","11%","10.8","8","1.15","5",2001,2001
"8","BOS","82","7,785","15.1","8","1.00","15","52%","18.3","12","0.97","13","33%","11.7","4","0.99","19","12%","10.6","4","1.07","29",2001,2001
"9","DAL","82","7,848","15.1","9","1.05","4","52%","17.9","7","1.00","8","35%","11.9","11","1.07","2","10%","11.3","16","1.11","21",2001,2001
"10","SEA","82","7,686","15.2","10","1.04","8","52%","18.3","14","0.98","11","34%","11.7","6","1.04","6","11%","11.0","11","1.25","1",2001,2001
"11","DEN","82","7,808","15.2","11","1.01","13","52%","18.5","16","0.96","17","36%","11.5","1","1.05","4","9%","10.6","6","1.14","13",2001,2001
"12","WAS","82","7,756","15.2","12","0.99","21","54%","18.2","11","0.95","19","33%","11.6","3","0.98","22","11%","11.0","12","1.15","6",2001,2001
"13","CLE","82","7,686","15.3","13","0.98","22","52%","18.4","15","0.93","26","34%","11.7","5","1.00","15","11%","11.8","25","1.13","16",2001,2001
"14","ATL","82","7,766","15.4","14","0.96","27","52%","18.3","13","0.94","22","35%","12.3","16","0.94","28","11%","11.3","15","1.10","25",2001,2001
"15","NJN","82","7,724","15.5","15","0.98","25","53%","18.0","9","0.94","21","33%","12.8","23","0.98","24","11%","11.3","14","1.13","15",2001,2001
"16","PHI","82","7,694","15.5","16","1.01","14","49%","19.4","27","0.96","16","37%","11.8","9","1.00","18","12%","10.6","5","1.20","3",2001,2001
"17","LAL","82","7,759","15.6","17","1.06","1","52%","18.2","10","1.06","1","36%","12.8","25","1.02","11","10%","11.5","21","1.19","4",2001,2001
"18","VAN","82","7,720","15.6","18","0.97","26","53%","18.7","17","0.93","23","34%","12.0","12","0.97","25","10%","11.4","18","1.09","26",2001,2001
"19","CHH","82","7,611","15.7","19","0.99","19","49%","19.0","21","0.93","25","37%","12.5","18","1.00","17","11%","11.6","23","1.15","8",2001,2001
"20","TOR","82","7,715","15.8","20","1.04","9","52%","18.8","19","0.99","9","36%","12.5","17","1.05","3","10%","11.4","19","1.14","11",2001,2001
"21","POR","82","7,508","15.8","21","1.04","6","50%","19.0","22","1.01","4","36%","12.7","21","1.02","12","12%","11.5","20","1.15","9",2001,2001
"22","IND","82","7,637","15.8","22","0.99","17","51%","18.7","18","0.97","14","37%","12.8","22","0.99","21","9%","11.5","22","1.08","27",2001,2001
"23","SAS","82","7,586","15.9","23","1.04","7","50%","19.1","25","1.00","7","38%","12.6","20","1.03","8","9%","11.7","24","1.23","2",2001,2001
"24","UTA","82","7,546","16.0","24","1.05","3","52%","18.9","20","1.01","2","34%","12.9","26","1.02","9","12%","11.3","17","1.12","17",2001,2001
"25","LAC","82","7,618","16.1","25","1.00","16","52%","19.0","23","0.96","15","36%","12.6","19","0.99","20","9%","12.4","29","1.15","7",2001,2001
"26","HOU","82","7,620","16.3","26","1.05","5","52%","19.6","29","1.00","6","36%","12.8","24","1.03","7","10%","11.1","13","1.11","20",2001,2001
"27","MIA","82","7,372","16.3","27","0.99","20","50%","19.3","26","0.93","24","36%","13.1","27","1.00","16","11%","12.3","27","1.11","23",2001,2001
"28","CHI","82","7,540","16.4","28","0.95","29","53%","19.1","24","0.90","29","32%","13.5","28","0.98","23","12%","12.1","26","1.07","28",2001,2001
"29","NYK","82","7,334","16.4","29","0.99","18","49%","19.5","28","0.97","12","37%","13.7","29","0.95","27","11%","12.3","28","1.11","22",2001,2001
"1","SAC","82","8,010","14.2","1","1.07","3","50%","16.9","1","1.02","5","36%","11.6","5","1.06","4","12%","9.9","2","1.20","3",2002,2002
"2","ORL","82","7,849","14.6","2","1.05","7","52%","17.2","2","0.98","11","34%","11.9","7","1.06","5","11%","10.4","4","1.19","4",2002,2002
"3","NJN","82","7,752","14.7","3","1.02","17","50%","18.0","8","0.95","24","35%","11.4","2","1.05","6","12%","10.2","3","1.14","14",2002,2002
"4","DAL","82","7,866","14.7","4","1.10","1","53%","17.6","3","1.05","2","35%","11.5","3","1.11","1","10%","10.5","5","1.18","5",2002,2002
"5","GSW","82","7,957","14.7","5","1.01","21","53%","17.8","5","0.96","20","34%","11.3","1","1.00","22","10%","9.9","1","1.18","6",2002,2002
"6","BOS","82","7,808","14.9","6","1.01","18","49%","18.4","11","0.97","15","36%","11.5","4","1.03","14","13%","10.8","7","1.07","27",2002,2002
"7","PHX","82","7,722","15.1","7","1.01","19","51%","18.0","7","0.97","18","34%","12.0","9","1.02","16","12%","11.0","9","1.09","23",2002,2002
"8","MIN","82","7,629","15.1","8","1.07","4","51%","17.8","4","1.03","4","36%","12.1","10","1.07","2","10%","11.7","21","1.15","13",2002,2002
"9","LAL","82","7,729","15.2","9","1.07","2","50%","17.9","6","1.06","1","37%","12.5","18","1.07","3","11%","11.7","24","1.10","21",2002,2002
"10","IND","82","7,781","15.2","10","1.02","16","51%","18.1","9","0.96","21","36%","12.3","13","1.04","9","10%","10.6","6","1.13","16",2002,2002
"11","MIL","82","7,637","15.3","11","1.05","8","51%","18.3","10","1.02","6","36%","11.8","6","1.05","7","11%","11.4","14","1.13","15",2002,2002
"12","ATL","82","7,738","15.5","12","1.00","24","52%","18.6","13","0.96","22","34%","12.0","8","0.97","28","12%","11.5","15","1.17","9",2002,2002
"13","DET","82","7,534","15.6","13","1.03","12","52%","18.6","15","0.97","19","34%","12.4","15","1.04","11","11%","11.0","8","1.17","11",2002,2002
"14","CHI","82","7,620","15.6","14","0.96","28","52%","18.5","12","0.92","28","34%","12.6","20","0.97","27","11%","11.1","10","1.07","26",2002,2002
"15","MEM","82","7,683","15.7","15","0.96","29","53%","18.6","14","0.90","29","34%","12.1","11","0.99","25","11%","11.7","22","1.04","29",2002,2002
"16","SAS","82","7,602","15.7","16","1.04","9","50%","18.9","19","1.02","7","37%","12.5","16","1.01","20","11%","12.2","26","1.20","2",2002,2002
"17","CHH","82","7,528","15.8","17","1.02","14","50%","19.3","26","0.97","17","36%","12.2","12","1.03","12","11%","11.5","16","1.12","17",2002,2002
"18","CLE","82","7,612","15.8","18","1.03","13","52%","18.7","18","0.99","10","35%","12.5","17","1.03","13","10%","11.7","23","1.10","22",2002,2002
"19","NYK","82","7,547","15.9","19","1.00","25","52%","18.7","16","0.96","23","35%","12.9","23","1.00","23","10%","11.7","19","1.08","25",2002,2002
"20","LAC","82","7,576","15.9","20","1.04","10","52%","18.7","17","0.99","9","36%","12.9","22","1.02","15","9%","11.7","20","1.17","8",2002,2002
"21","PHI","82","7,516","15.9","21","0.99","26","48%","19.5","28","0.93","26","37%","12.7","21","0.99","24","12%","11.3","12","1.12","19",2002,2002
"22","SEA","82","7,512","16.0","22","1.07","5","52%","19.2","25","1.04","3","34%","12.5","19","1.04","8","12%","11.2","11","1.17","10",2002,2002
"23","UTA","82","7,628","16.0","23","1.03","11","52%","18.9","20","0.98","13","33%","13.1","26","1.01","19","12%","11.6","18","1.17","7",2002,2002
"24","POR","82","7,528","16.0","24","1.05","6","50%","19.1","21","1.01","8","35%","13.1","25","1.02","17","12%","11.6","17","1.21","1",2002,2002
"25","DEN","82","7,581","16.1","25","1.00","23","53%","19.4","27","0.94","25","33%","12.3","14","1.04","10","11%","11.4","13","1.08","24",2002,2002
"26","TOR","82","7,455","16.2","26","1.01","22","51%","19.2","24","0.97","16","34%","13.0","24","1.01","21","12%","12.0","25","1.07","28",2002,2002
"27","MIA","82","7,403","16.5","27","0.97","27","50%","19.2","23","0.93","27","37%","13.7","29","0.95","29","10%","12.9","28","1.11","20",2002,2002
"28","WAS","82","7,445","16.5","28","1.02","15","52%","19.1","22","0.98","12","35%","13.6","28","1.01","18","10%","13.1","29","1.12","18",2002,2002
"29","HOU","82","7,502","16.8","29","1.01","20","53%","19.8","29","0.98","14","35%","13.6","27","0.99","26","10%","12.3","27","1.16","12",2002,2002
"1","SAC","82","8,044","13.9","1","1.04","6","49%","16.5","1","1.01","5","37%","11.6","2","1.02","12","12%","9.9","2","1.15","14",2003,2003
"2","GSW","82","7,977","14.6","2","1.05","3","53%","17.3","3","1.01","3","35%","11.7","5","1.07","3","10%","10.2","4","1.10","23",2003,2003
"3","ORL","82","7,836","14.7","3","1.03","9","53%","17.0","2","1.00","7","33%","12.4","15","1.02","13","12%","10.5","6","1.13","18",2003,2003
"4","NJN","82","7,714","14.9","4","1.01","20","49%","18.4","15","0.94","24","36%","11.7","4","1.03","11","12%","9.8","1","1.16","7",2003,2003
"5","MIN","82","7,728","14.9","5","1.04","5","51%","17.4","4","1.01","6","37%","12.4","14","1.03","9","10%","10.9","8","1.15","12",2003,2003
"6","CHI","82","7,921","15.0","6","0.98","26","52%","18.0","7","0.94","26","35%","11.6","3","1.00","18","11%","11.0","11","1.03","29",2003,2003
"7","PHX","82","7,687","15.0","7","1.02","15","51%","17.6","5","0.98","12","35%","12.3","13","1.00","21","11%","11.0","9","1.15","11",2003,2003
"8","ATL","82","7,750","15.1","8","1.00","23","51%","18.1","10","0.97","18","36%","11.9","6","0.98","23","10%","11.0","10","1.14","15",2003,2003
