"TEAM_ID","TEAM_NAME","GP","W","L","W_PCT","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","PTS","PLUS_MINUS","Season"
"1610612737","Atlanta Hawks","50","31","19","0.62","2414.55166666667","1539","3759","0.409","197","644","0.306","1040","1422","0.731","4315","145","1998-99"
"1610612738","Boston Celtics","50","19","31","0.38","2430","1816","4164","0.436","273","758","0.36","745","1077","0.692","4650","-93","1998-99"
"1610612766","Charlotte Hornets","50","26","24","0.52","2430","1671","3718","0.449","268","735","0.365","1034","1384","0.747","4644","-5","1998-99"
"1610612741","Chicago Bulls","50","13","37","0.26","2414.26833333333","1539","3836","0.401","177","611","0.29","840","1185","0.709","4095","-473","1998-99"
"1610612739","Cleveland Cavaliers","50","22","28","0.44","2410","1562","3561","0.439","182","534","0.341","1016","1356","0.749","4322","-86","1998-99"
"1610612742","Dallas Mavericks","50","19","31","0.38","2414.66666666667","1749","4033","0.434","202","595","0.339","881","1210","0.728","4581","-120","1998-99"
"1610612743","Denver Nuggets","50","14","36","0.28","2405","1681","3989","0.421","302","922","0.328","1010","1325","0.762","4674","-330","1998-99"
"1610612765","Detroit Pistons","50","29","21","0.58","2409.71666666667","1660","3716","0.447","248","679","0.365","950","1283","0.74","4518","171","1998-99"
"1610612744","Golden State Warriors","50","21","29","0.42","2425","1730","4173","0.415","162","565","0.287","794","1175","0.676","4416","-125","1998-99"
"1610612745","Houston Rockets","50","31","19","0.62","2415","1755","3798","0.462","336","914","0.368","865","1187","0.729","4711","116","1998-99"
"1610612754","Indiana Pacers","50","33","17","0.66","2420","1731","3866","0.448","294","799","0.368","977","1228","0.796","4733","187","1998-99"
"1610612746","Los Angeles Clippers","50","9","41","0.18","2425","1711","4007","0.427","214","668","0.32","883","1225","0.721","4519","-441","1998-99"
"1610612747","Los Angeles Lakers","50","31","19","0.62","2410","1841","3935","0.468","241","685","0.352","1027","1503","0.683","4950","151","1998-99"
"1610612748","Miami Heat","50","33","17","0.66","2405","1616","3565","0.453","289","804","0.359","928","1262","0.735","4449","248","1998-99"
"1610612749","Milwaukee Bucks","50","28","22","0.56","2410","1753","3818","0.459","231","619","0.373","847","1155","0.733","4584","83","1998-99"
"1610612750","Minnesota Timberwolves","50","25","25","0.5","2405","1838","4327","0.425","122","410","0.298","849","1143","0.743","4647","19","1998-99"
"1610612751","New Jersey Nets","50","16","34","0.32","2410","1691","4160","0.406","225","679","0.331","962","1251","0.769","4569","-189","1998-99"
"1610612752","New York Knicks","50","27","23","0.54","2420","1610","3704","0.435","208","589","0.353","892","1218","0.732","4320","51","1998-99"
"1610612753","Orlando Magic","50","33","17","0.66","2410","1687","3943","0.428","223","675","0.33","876","1252","0.7","4473","130","1998-99"
"1610612755","Philadelphia 76ers","50","28","22","0.56","2430","1656","3883","0.426","98","371","0.264","1073","1486","0.722","4483","103","1998-99"
"1610612756","Phoenix Suns","50","27","23","0.54","2410","1797","4004","0.449","261","702","0.372","924","1215","0.76","4779","113","1998-99"
"1610612757","Portland Trail Blazers","50","35","15","0.7","2434.66666666667","1747","3956","0.442","246","675","0.364","1002","1349","0.743","4742","318","1998-99"
"1610612758","Sacramento Kings","50","27","23","0.54","2440","1918","4307","0.445","290","943","0.308","883","1293","0.683","5009","-21","1998-99"
"1610612759","San Antonio Spurs","50","37","13","0.74","2415","1740","3812","0.456","172","521","0.33","988","1415","0.698","4640","403","1998-99"
"1610612760","Seattle SuperSonics","50","25","25","0.5","2420","1756","3976","0.442","309","899","0.344","922","1354","0.681","4743","-54","1998-99"
"1610612761","Toronto Raptors","50","23","27","0.46","2415","1660","3940","0.421","226","662","0.341","1011","1330","0.76","4557","-82","1998-99"
"1610612762","Utah Jazz","50","37","13","0.74","2435","1684","3620","0.465","140","388","0.361","1158","1510","0.767","4666","326","1998-99"
"1610612763","Vancouver Grizzlies","50","8","42","0.16","2435","1643","3838","0.428","148","453","0.327","1009","1408","0.717","4443","-433","1998-99"
"1610612764","Washington Wizards","50","18","32","0.36","2410","1768","3969","0.445","179","580","0.309","845","1198","0.705","4560","-112","1998-99"
"1610612737","Atlanta Hawks","82","28","54","0.341","3966","3000","6807","0.441","258","814","0.317","1477","1987","0.743","7735","-441","1999-00"
"1610612738","Boston Celtics","82","35","47","0.427","3946","3054","6880","0.444","417","1260","0.331","1621","2175","0.745","8146","-62","1999-00"
"1610612766","Charlotte Hornets","82","49","33","0.598","3956","2935","6533","0.449","339","1001","0.339","1863","2458","0.758","8072","219","1999-00"
"1610612741","Chicago Bulls","82","17","65","0.207","3960.75","2565","6180","0.415","340","1033","0.329","1482","2089","0.709","6952","-771","1999-00"
"1610612739","Cleveland Cavaliers","82","32","50","0.39","3970.91666666667","2977","6734","0.442","343","919","0.373","1653","2205","0.75","7950","-287","1999-00"
"1610612742","Dallas Mavericks","82","40","42","0.488","3945.84333333333","3195","7047","0.453","519","1326","0.391","1407","1751","0.804","8316","-47","1999-00"
"1610612743","Denver Nuggets","82","35","47","0.427","3970.93166666667","3057","6911","0.442","470","1397","0.336","1531","2116","0.724","8115","-174","1999-00"
"1610612765","Detroit Pistons","82","42","40","0.512","3966","3044","6635","0.459","439","1223","0.359","1956","2506","0.781","8483","118","1999-00"
"1610612744","Golden State Warriors","82","19","63","0.232","3951","2996","7140","0.42","345","1069","0.323","1497","2147","0.697","7834","-678","1999-00"
"1610612745","Houston Rockets","82","34","48","0.415","3966","3001","6664","0.45","581","1625","0.358","1573","2145","0.733","8156","-71","1999-00"
"1610612754","Indiana Pacers","82","56","26","0.683","3945.91666666667","3047","6640","0.459","583","1487","0.392","1629","2008","0.811","8306","377","1999-00"
"1610612746","Los Angeles Clippers","82","15","67","0.183","3940.415","2877","6757","0.426","429","1267","0.339","1363","1826","0.746","7546","-945","1999-00"
"1610612747","Los Angeles Lakers","82","67","15","0.817","3961","3137","6836","0.459","344","1047","0.329","1649","2369","0.696","8267","701","1999-00"
"1610612748","Miami Heat","82","52","30","0.634","3966","2974","6462","0.46","446","1202","0.371","1345","1827","0.736","7739","255","1999-00"
"1610612749","Milwaukee Bucks","82","42","40","0.512","3971","3174","6827","0.465","394","1069","0.369","1558","1982","0.786","8300","18","1999-00"
"1610612750","Minnesota Timberwolves","82","50","32","0.61","3981","3226","6910","0.467","248","716","0.346","1379","1769","0.78","8079","207","1999-00"
"1610612751","New Jersey Nets","82","31","51","0.378","3966","2979","6881","0.433","477","1374","0.347","1601","2041","0.784","8036","-85","1999-00"
"1610612752","New York Knicks","82","50","32","0.61","3966","2897","6374","0.455","351","937","0.375","1410","1805","0.781","7555","120","1999-00"
"1610612753","Orlando Magic","82","41","41","0.5","3951","3169","7014","0.452","294","870","0.338","1574","2142","0.735","8206","56","1999-00"
"1610612755","Philadelphia 76ers","82","49","33","0.598","3966","2993","6776","0.442","208","643","0.323","1577","2226","0.708","7771","110","1999-00"
"1610612756","Phoenix Suns","82","53","29","0.646","3961","3093","6771","0.457","458","1246","0.368","1467","1934","0.759","8111","428","1999-00"
"1610612757","Portland Trail Blazers","82","59","23","0.72","3956","3021","6430","0.47","407","1128","0.361","1542","2029","0.76","7991","525","1999-00"
"1610612758","Sacramento Kings","82","44","38","0.537","3960.73333333333","3276","7288","0.45","534","1656","0.322","1521","2017","0.754","8607","239","1999-00"
"1610612759","San Antonio Spurs","82","53","29","0.646","3971","2952","6393","0.462","330","882","0.374","1652","2214","0.746","7886","487","1999-00"
"1610612760","Seattle SuperSonics","82","45","37","0.549","3955.84333333333","3108","6946","0.447","546","1611","0.339","1363","1960","0.695","8125","78","1999-00"
"1610612761","Toronto Raptors","82","45","37","0.549","3951","2980","6882","0.433","425","1171","0.363","1583","2068","0.765","7968","-13","1999-00"
"1610612762","Utah Jazz","82","55","27","0.671","3951","2962","6380","0.464","329","854","0.385","1661","2150","0.773","7914","366","1999-00"
"1610612763","Vancouver Grizzlies","82","22","60","0.268","3971","2892","6441","0.449","324","898","0.361","1594","2060","0.774","7702","-461","1999-00"
