"X","TEAM_ID","TEAM_NAME","GP","W","L","W_PCT","MIN","OFF_RATING","PACE","POSS","Season"
78,1610612755,"Philadelphia 76ers",50,28,22,0.56,2430,97.8,90.56,4582,"1998-99"
79,1610612756,"Phoenix Suns",50,27,23,0.54,2410,103.9,91.54,4601,"1998-99"
80,1610612757,"Portland Trail Blazers",50,35,15,0.7,2435,102.8,90.81,4613,"1998-99"
81,1610612758,"Sacramento Kings",50,27,23,0.54,2440,101.2,97.36,4948,"1998-99"
82,1610612759,"San Antonio Spurs",50,37,13,0.74,2415,102.7,89.88,4517,"1998-99"
83,1610612760,"Seattle SuperSonics",50,25,25,0.5,2420,103.2,91.22,4594,"1998-99"
84,1610612761,"Toronto Raptors",50,23,27,0.46,2415,99.8,90.67,4565,"1998-99"
85,1610612762,"Utah Jazz",50,37,13,0.74,2435,104.2,88.37,4480,"1998-99"
86,1610612763,"Vancouver Grizzlies",50,8,42,0.16,2435,97.1,90.29,4576,"1998-99"
87,1610612764,"Washington Wizards",50,18,32,0.36,2410,99.8,91.11,4571,"1998-99"
88,1610612737,"Atlanta Hawks",82,28,54,0.341,3966,100.1,93.55,7731,"1999-00"
89,1610612738,"Boston Celtics",82,35,47,0.427,3946,102.9,96.19,7918,"1999-00"
90,1610612766,"Charlotte Hornets",82,49,33,0.598,3956,102.5,95.58,7876,"1999-00"
91,1610612741,"Chicago Bulls",82,17,65,0.207,3961,92.8,90.93,7492,"1999-00"
92,1610612739,"Cleveland Cavaliers",82,32,50,0.39,3971,98.7,97.36,8051,"1999-00"
93,1610612742,"Dallas Mavericks",82,40,42,0.488,3946,104.7,96.64,7941,"1999-00"
94,1610612743,"Denver Nuggets",82,35,47,0.427,3971,102.2,95.95,7944,"1999-00"
95,1610612765,"Detroit Pistons",82,42,40,0.512,3966,105.2,97.56,8063,"1999-00"
96,1610612744,"Golden State Warriors",82,19,63,0.232,3951,98,97.11,7991,"1999-00"
97,1610612745,"Houston Rockets",82,34,48,0.415,3966,103.3,95.54,7892,"1999-00"
98,1610612754,"Indiana Pacers",82,56,26,0.683,3946,106.8,94.7,7777,"1999-00"
99,1610612746,"Los Angeles Clippers",82,15,67,0.183,3940,96.1,95.69,7849,"1999-00"
